tender_id,card_id,status,mismatches,name_score,customer_score,info_corr,analysis_score,price_dash,price_api,card_id_match,reg_num_match,has_card,dash_name,api_name,dash_customer,api_customer,tenderguru_link
"90509181","90509181","ok","","1","1","1","","","","true","","false","Лот № 45 Продление лицензий на программное обеспечение ""Primo RPA""","Лот № 45 Продление лицензий на программное обеспечение ""Primo RPA""","ПАО ""КАМАЗ""","ПАО ""КАМАЗ""","https://www.tenderguru.ru/tender/90509181"
"32515434333","90417111","ok","","1","1","1","0.045","44899524","44899524","true","","true","Поставка программно-аппаратного комплекса для реализации алгоритмов машинного обучения и интеллектуального анализа данных","Поставка программно-аппаратного комплекса для реализации алгоритмов машинного обучения и интеллектуального анализа данных","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА""","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА""","https://www.tenderguru.ru/tender/90417111"
"rq_0387300001425000262","90404251","ok","","1","1","1","0.082","","","true","","true","Запрос цены. Оказание услуг по развитию и обеспечению функционирования нейронной сети помощи гражданам, официальных ресурсов органов местног","Запрос цены. Оказание услуг по развитию и обеспечению функционирования нейронной сети помощи гражданам, официальных ресурсов органов местног","Муниципальное казенное учреждение ""Управление логистики""","Муниципальное казенное учреждение ""Управление логистики""","https://www.tenderguru.ru/tender/90404251"
"0848200000525000078","90400728","ok","","1","1","1","0","45631997","45631997","true","true","true","Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта в целях реализации и внедрен","Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта в целях реализации и внедрен","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","https://www.tenderguru.ru/tender/90400728"
"32515429008","90374145","ok","","1","1","1","0.097","87475786","87475786","true","","true","Поставка сервера и оборудования к нему (сервер, ИБП, коммутатор, шкаф телекоммуникационный) для обучения нейросетевых моделей на видеоданных","Поставка сервера и оборудования к нему (сервер, ИБП, коммутатор, шкаф телекоммуникационный) для обучения нейросетевых моделей на видеоданных","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ ","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ ","https://www.tenderguru.ru/tender/90374145"
"90363698","90363698","ok","","1","1","1","0.109","","","true","","true","25-575 Лицензии (подписка) на программный продукт PIX RPA","25-575 Лицензии (подписка) на программный продукт PIX RPA","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""","https://www.tenderguru.ru/tender/90363698"
"0137200001225007767","90258507","ok","","1","1","1","0.035","460000","460000","true","true","true","Оказание услуг на разработку автоматизированного процесса мониторинга раскрытия информации ресурсоснабжающими организациями (РСО) на портале","Оказание услуг на разработку автоматизированного процесса мониторинга раскрытия информации ресурсоснабжающими организациями (РСО) на портале","Министерство конкурентной политики и тарифов Калужской области","Министерство конкурентной политики и тарифов Калужской области","https://www.tenderguru.ru/tender/90258507"
"90301115","90301115","ok","","1","1","1","0.12","","","true","","true","Лицензии на программное обеспечение роботизированной автоматизации процессов (PRIMO RPA) на 12 месяцев.","Лицензии на программное обеспечение роботизированной автоматизации процессов (PRIMO RPA) на 12 месяцев.","Торговая Система «ТЭК-Торг»","Торговая Система «ТЭК-Торг»","https://www.tenderguru.ru/tender/90301115"
"0174500001125006512","90232311","ok","","1","1","1","0.004","15845000","15845000","true","true","true","Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по сбору, обраб","Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по сбору, обраб","ДЕПАРТАМЕНТ УПРАВЛЕНИЯ ДЕЛАМИ ГУБЕРНАТОРА И ПРАВИТЕЛЬСТВА СЕВАСТОПОЛЯ","ДЕПАРТАМЕНТ УПРАВЛЕНИЯ ДЕЛАМИ ГУБЕРНАТОРА И ПРАВИТЕЛЬСТВА СЕВАСТОПОЛЯ","https://www.tenderguru.ru/tender/90232311"
"90213390","90213390","ok","","1","1","1","0.02","5999990","5999990","true","true","true","Оказание услуг по сопровождению программного обеспечения медицинского изделия с технологией искусственного интеллекта «Система для поддержки","Оказание услуг по сопровождению программного обеспечения медицинского изделия с технологией искусственного интеллекта «Система для поддержки","УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ","УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ","https://www.tenderguru.ru/tender/90213390"
