tender_id,lookup_id,lookup_tend_num,date,niche,classification,relevance_score,matched_terms,matched_queries,query_groups,sources,tender_name,customer,category,region,price,end_time,tender_link,tenderguru_link,doc_links_from_documentation_search
"86762132","86762132","","06-06-2025","computer_vision","ai_core","8","распознавание изображений","""распознавание изображений""","computer_vision","search","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств","","Системная интеграция, оргтехника","Санкт-Петербург","","","https://www.roseltorg.ru/procedure/RT05062500020","https://www.tenderguru.ru/tender/86762132",""
"86775531","86775531","","06-06-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Оказание услуг технической поддержки роботов на базе программных продуктов PIX RPA в информационной системе PIX RPA","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБИРСКЭНЕРГОСБЫТ""","Системная интеграция, оргтехника","Новосибирская область","416000","11-06-2025","https://www.roseltorg.ru/procedure/B0606251155585","https://www.tenderguru.ru/tender/86775531",""
"rq_0373100040125000609","86697551","rq_0373100040125000609","04-06-2025","analytics","ai_core","7","интеллектуальный анализ данных","""интеллектуальный анализ данных""","analytics","search","Запрос цены. Закупка программного обеспечения для интеллектуального анализа данных для нужд факультета государственного управления МГУ имени М.В. Ломоносова","федеральное государственное образовательное учреждение высшего профессионального образования ""Московский государственный университет имени М.В.Ломоносова""","Системная интеграция, оргтехника","Москва","","","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0373100040125000609","https://www.tenderguru.ru/tender/86697551",""
"32514906762","86654615","32514906762","02-06-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Оказание услуг по разработке и внедрению сценария программного робота «Автоматизация процесса сравнения сумм по данным подрядчика/ реестра подрядчика на платформе Sherpa RPA» с предоставлением исключительного права использования программного робота «Автоматизация процесса сравнения сумм по данным подрядчика/ реестра подрядчика на платформе Sherpa RPA»","ПУБЛИЧНО-ПРАВОВАЯ КОМПАНИЯ ""ЕДИНЫЙ ЗАКАЗЧИК В СФЕРЕ СТРОИТЕЛЬСТВА""","Системная интеграция, оргтехника","Москва","519500","02-06-2025","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514906762","https://www.tenderguru.ru/tender/86654615",""
"0801500001125000909","86584624","0801500001125000909","31-05-2025","computer_vision","ai_core","8","распознавание изображений","""распознавание изображений""","computer_vision","search","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""РЕСПУБЛИКАНСКИЙ ЦЕНТР ТОРГОВ""","Системная интеграция, оргтехника","Башкортостан","45713713","16-06-2025","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0801500001125000909","https://www.tenderguru.ru/tender/86584624",""
"0101500000325000150","86439677","0101500000325000150","28-05-2025","computer_vision","ai_core","8","распознавание изображений","""распознавание изображений""","computer_vision","search","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств","ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ БАШКОРТОСТАН ПО МОНИТОРИНГУ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ","Системная интеграция, оргтехника","Башкортостан","378295727","18-06-2025","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0101500000325000150","https://www.tenderguru.ru/tender/86439677",""
"32514887995","86469269","32514887995","28-05-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Оказание услуг связи по предоставлению оптического волокна по трассе: г. Москва, ул. Олеко Дундича, д. 11 – г. Москва, ул. Молодогвардейская, д. 46, корп. 2 с 01.06.2025 по 31.05.2026.","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВСЕРОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ЮСТИЦИИ (РПА МИНЮСТА РОССИИ)""","Системная интеграция, оргтехника","Москва","504000","28-05-2025","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514887995","https://www.tenderguru.ru/tender/86469269",""
"32514889135","86475252","32514889135","28-05-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Оказание услуг связи по предоставлению доступа к каналам передачи данных сети Интернет на объектах Заказчика с 01.06.2025 по 31.08.2025","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВСЕРОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ЮСТИЦИИ (РПА МИНЮСТА РОССИИ)""","Системная интеграция, оргтехника","Москва","864300","28-05-2025","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514889135","https://www.tenderguru.ru/tender/86475252",""
"86293910","86293910","","22-05-2025","document_ai","ai_core","8","распознавание документов","""распознавание документов""","document_ai","search","Система оптического распознавания документов","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЕС ЭКИПАЖ""","Системная интеграция, оргтехника","","","04-06-2025","https://bidzaar.com/process/light/65678d50-ca47-4cc9-b5a2-e5a6f4217223","https://www.tenderguru.ru/tender/86293910",""
"86220632","86220632","","20-05-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Право использования ПО Primo RPA Studio, Primo RPA Orchestrator, Primo RPA Robot Enterprise и оказание услуг по техническому сопровождению ПО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОЧТА БАНК""","Системная интеграция, оргтехника","Москва","","27-05-2025","https://www.roseltorg.ru/procedure/VTB20052500003","https://www.tenderguru.ru/tender/86220632",""
